County,State,Population_July_1st_2021
Rutherford County,Tennessee,"352,182"
Scott County,Tennessee,"21,917"
Sequatchie County,Tennessee,"16,396"
Sevier County,Tennessee,"99,517"
Shelby County,Tennessee,"924,454"
Smith County,Tennessee,"20,172"
Stewart County,Tennessee,"13,855"
Sullivan County,Tennessee,"159,265"
Sumner County,Tennessee,"200,557"
Tipton County,Tennessee,"61,004"
Trousdale County,Tennessee,"12,035"
Unicoi County,Tennessee,"17,698"
Union County,Tennessee,"20,040"
Van Buren County,Tennessee,"6,324"
Warren County,Tennessee,"41,523"
Washington County,Tennessee,"134,236"
Wayne County,Tennessee,"16,409"
Weakley County,Tennessee,"33,036"
White County,Tennessee,"27,650"
Williamson County,Tennessee,"255,735"
Wilson County,Tennessee,"151,917"
Anderson County,Texas,"58,402"
Andrews County,Texas,"18,440"
Angelina County,Texas,"86,506"
Aransas County,Texas,"24,510"
Archer County,Texas,"8,681"
Armstrong County,Texas,"1,839"
Atascosa County,Texas,"49,939"
Austin County,Texas,"30,380"
Bailey County,Texas,"6,835"
Bandera County,Texas,"21,565"
Bastrop County,Texas,"102,058"
Baylor County,Texas,"3,477"
Bee County,Texas,"30,924"
Bell County,Texas,"379,617"
Bexar County,Texas,"2,028,236"
Blanco County,Texas,"11,886"
Borden County,Texas,617
Bosque County,Texas,"18,503"
Bowie County,Texas,"92,581"
Brazoria County,Texas,"379,689"
Brazos County,Texas,"237,032"
Brewster County,Texas,"9,450"
Briscoe County,Texas,"1,403"
Brooks County,Texas,"6,994"
Brown County,Texas,"38,192"
Burleson County,Texas,"18,051"
Burnet County,Texas,"50,954"
Caldwell County,Texas,"46,791"
Calhoun County,Texas,"19,727"
Callahan County,Texas,"14,115"
Cameron County,Texas,"423,029"
Camp County,Texas,"12,616"
Carson County,Texas,"5,746"
Cass County,Texas,"28,560"
Castro County,Texas,"7,374"
Chambers County,Texas,"48,865"
Cherokee County,Texas,"51,097"
Childress County,Texas,"6,736"
Clay County,Texas,"10,263"
Cochran County,Texas,"2,516"
Coke County,Texas,"3,321"
Coleman County,Texas,"7,735"
Collin County,Texas,"1,109,462"
Collingsworth County,Texas,"2,615"
Colorado County,Texas,"20,630"
Comal County,Texas,"174,986"
Comanche County,Texas,"13,775"
Concho County,Texas,"3,341"
Cooke County,Texas,"42,244"
Coryell County,Texas,"84,232"
Cottle County,Texas,"1,381"
Crane County,Texas,"4,680"
Crockett County,Texas,"3,068"
Crosby County,Texas,"5,106"
Culberson County,Texas,"2,193"
Dallam County,Texas,"7,172"
Dallas County,Texas,"2,586,050"
Dawson County,Texas,"12,413"
Deaf Smith County,Texas,"18,329"
Delta County,Texas,"5,392"
Denton County,Texas,"941,647"
DeWitt County,Texas,"19,918"
Dickens County,Texas,"1,740"
Dimmit County,Texas,"8,473"
Donley County,Texas,"3,268"
Duval County,Texas,"9,756"
Eastland County,Texas,"17,864"
Ector County,Texas,"161,091"
Edwards County,Texas,"1,438"
Ellis County,Texas,"202,678"
El Paso County,Texas,"867,947"
Erath County,Texas,"43,378"
Falls County,Texas,"17,313"
Fannin County,Texas,"36,569"
Fayette County,Texas,"24,687"
Fisher County,Texas,"3,706"
Floyd County,Texas,"5,350"
Foard County,Texas,"1,080"
Fort Bend County,Texas,"858,527"
Franklin County,Texas,"10,464"
Freestone County,Texas,"19,774"
Frio County,Texas,"18,436"
Gaines County,Texas,"21,895"
Galveston County,Texas,"355,062"
Garza County,Texas,"5,863"
Gillespie County,Texas,"27,297"
Glasscock County,Texas,"1,149"
Goliad County,Texas,"7,163"
Gonzales County,Texas,"19,641"
Gray County,Texas,"21,030"
Grayson County,Texas,"139,336"
Gregg County,Texas,"124,201"
Grimes County,Texas,"30,287"
Guadalupe County,Texas,"177,036"
Hale County,Texas,"32,220"
Hall County,Texas,"2,845"
Hamilton County,Texas,"8,229"
Hansford County,Texas,"5,159"
Hardeman County,Texas,"3,552"
Hardin County,Texas,"56,973"
Harris County,Texas,"4,728,030"
Harrison County,Texas,"69,150"
Hartley County,Texas,"5,397"
Haskell County,Texas,"5,411"
Hays County,Texas,"255,397"
Hemphill County,Texas,"3,271"
Henderson County,Texas,"83,667"
Hidalgo County,Texas,"880,356"
Hill County,Texas,"36,471"
Hockley County,Texas,"21,363"
Hood County,Texas,"64,222"
Hopkins County,Texas,"37,211"
Houston County,Texas,"22,241"
Howard County,Texas,"34,128"
Hudspeth County,Texas,"3,287"
Hunt County,Texas,"103,394"
Hutchinson County,Texas,"20,495"
Irion County,Texas,"1,552"
Jack County,Texas,"8,712"
Jackson County,Texas,"15,121"
Jasper County,Texas,"32,975"
Jeff Davis County,Texas,"1,949"
Jefferson County,Texas,"253,704"
Jim Hogg County,Texas,"4,801"
Jim Wells County,Texas,"38,847"
Johnson County,Texas,"187,280"
Jones County,Texas,"19,873"
Karnes County,Texas,"14,754"
Kaufman County,Texas,"157,768"
Kendall County,Texas,"46,788"
Kenedy County,Texas,340
Kent County,Texas,749
Kerr County,Texas,"53,161"
Kimble County,Texas,"4,365"
King County,Texas,258
Kinney County,Texas,"3,130"
Kleberg County,Texas,"30,635"
Knox County,Texas,"3,351"
Lamar County,Texas,"50,098"
Lamb County,Texas,"12,898"
Lampasas County,Texas,"22,252"
La Salle County,Texas,"6,670"
Lavaca County,Texas,"20,544"
Lee County,Texas,"17,706"
Leon County,Texas,"15,959"
Liberty County,Texas,"97,621"
Limestone County,Texas,"22,119"
Lipscomb County,Texas,"2,931"
Live Oak County,Texas,"11,377"
Llano County,Texas,"21,978"
Loving County,Texas,57
Lubbock County,Texas,"314,451"
Lynn County,Texas,"5,688"
McCulloch County,Texas,"7,533"
McLennan County,Texas,"263,115"
McMullen County,Texas,608
Madison County,Texas,"13,718"
Marion County,Texas,"9,645"
Martin County,Texas,"5,211"
Mason County,Texas,"3,943"
Matagorda County,Texas,"36,344"
Maverick County,Texas,"58,056"
Medina County,Texas,"51,981"
Menard County,Texas,"1,982"
Midland County,Texas,"167,969"
Milam County,Texas,"25,106"
Mills County,Texas,"4,480"
Mitchell County,Texas,"9,070"
Montague County,Texas,"20,409"
Montgomery County,Texas,"648,886"
Moore County,Texas,"21,118"
Morris County,Texas,"12,030"
Motley County,Texas,"1,067"
Nacogdoches County,Texas,"64,668"
Navarro County,Texas,"53,591"
Newton County,Texas,"12,241"
Nolan County,Texas,"14,597"
Nueces County,Texas,"353,079"
Ochiltree County,Texas,"9,782"
Oldham County,Texas,"1,717"
Orange County,Texas,"84,742"
Palo Pinto County,Texas,"28,686"
Panola County,Texas,"22,675"
Parker County,Texas,"156,764"
Parmer County,Texas,"9,813"
Pecos County,Texas,"15,118"
Polk County,Texas,"51,899"
Potter County,Texas,"116,547"
Presidio County,Texas,"6,140"
Rains County,Texas,"12,509"
Randall County,Texas,"143,854"
Reagan County,Texas,"3,253"
Real County,Texas,"2,826"
Red River County,Texas,"11,555"
Reeves County,Texas,"14,487"
Refugio County,Texas,"6,756"
Roberts County,Texas,797
Robertson County,Texas,"16,958"
Rockwall County,Texas,"116,381"
Runnels County,Texas,"9,943"
Rusk County,Texas,"52,743"
Sabine County,Texas,"10,039"
San Augustine County,Texas,"7,922"
San Jacinto County,Texas,"27,878"
San Patricio County,Texas,"69,699"
San Saba County,Texas,"5,827"
Schleicher County,Texas,"2,429"
Scurry County,Texas,"16,824"
Shackelford County,Texas,"3,212"
Shelby County,Texas,"23,939"
Sherman County,Texas,"2,798"
Smith County,Texas,"237,186"
Somervell County,Texas,"9,469"
Starr County,Texas,"66,049"
Stephens County,Texas,"9,173"
Sterling County,Texas,"1,381"
Stonewall County,Texas,"1,217"
Sutton County,Texas,"3,319"
Swisher County,Texas,"7,008"
Tarrant County,Texas,"2,126,477"
Taylor County,Texas,"143,326"
Terrell County,Texas,724
Terry County,Texas,"11,754"
Throckmorton County,Texas,"1,495"
Titus County,Texas,"31,183"
Tom Green County,Texas,"119,411"
Travis County,Texas,"1,305,154"
Trinity County,Texas,"13,827"
Tyler County,Texas,"20,077"
Upshur County,Texas,"41,774"
Upton County,Texas,"3,265"
Uvalde County,Texas,"24,729"
Val Verde County,Texas,"47,564"
Van Zandt County,Texas,"61,275"
Victoria County,Texas,"90,964"
Walker County,Texas,"77,977"
Waller County,Texas,"59,781"
Ward County,Texas,"11,194"
Washington County,Texas,"35,891"
Webb County,Texas,"267,945"
Wharton County,Texas,"41,721"
Wheeler County,Texas,"4,927"
Wichita County,Texas,"130,069"
Wilbarger County,Texas,"12,731"
Willacy County,Texas,"20,316"
Williamson County,Texas,"643,026"
Wilson County,Texas,"51,257"
Winkler County,Texas,"7,415"
Wise County,Texas,"71,714"
Wood County,Texas,"45,875"
Yoakum County,Texas,"7,607"
Young County,Texas,"17,977"
Zapata County,Texas,"13,908"
Zavala County,Texas,"9,534"
Beaver County,Utah,"7,249"
Box Elder County,Utah,"59,688"
Cache County,Utah,"137,417"
Carbon County,Utah,"20,372"
Daggett County,Utah,976
Davis County,Utah,"367,285"
Duchesne County,Utah,"19,790"
Emery County,Utah,"9,967"
Garfield County,Utah,"5,129"
Grand County,Utah,"9,663"
Iron County,Utah,"60,519"
Juab County,Utah,"12,155"
Kane County,Utah,"7,992"
Millard County,Utah,"13,164"
Morgan County,Utah,"12,657"
Piute County,Utah,"1,487"
Rich County,Utah,"2,597"
Salt Lake County,Utah,"1,186,421"
San Juan County,Utah,"14,489"
Sanpete County,Utah,"29,106"
Sevier County,Utah,"21,906"
Summit County,Utah,"43,093"
Tooele County,Utah,"76,640"
Uintah County,Utah,"36,204"
Utah County,Utah,"684,986"
Wasatch County,Utah,"36,173"
Washington County,Utah,"191,226"
Wayne County,Utah,"2,558"
Weber County,Utah,"267,066"
Addison County,Vermont,"37,260"
Bennington County,Vermont,"37,312"
Caledonia County,Vermont,"30,403"
Chittenden County,Vermont,"168,865"
Essex County,Vermont,"5,925"
Franklin County,Vermont,"50,325"
Grand Isle County,Vermont,"7,421"
Lamoille County,Vermont,"26,126"
Orange County,Vermont,"29,541"
Orleans County,Vermont,"27,546"
Rutland County,Vermont,"60,591"
Washington County,Vermont,"59,969"
Windham County,Vermont,"46,090"
Windsor County,Vermont,"58,196"
Accomack County,Virginia,"33,246"
Albemarle County,Virginia,"113,535"
Alleghany County,Virginia,"14,986"
Amelia County,Virginia,"13,268"
Amherst County,Virginia,"31,273"
Appomattox County,Virginia,"16,353"
Arlington County,Virginia,"232,965"
Augusta County,Virginia,"77,563"
Bath County,Virginia,"4,114"
Bedford County,Virginia,"80,131"
Bland County,Virginia,"6,173"
Botetourt County,Virginia,"33,866"
Brunswick County,Virginia,"15,940"
Buchanan County,Virginia,"19,816"
Buckingham County,Virginia,"16,947"
Campbell County,Virginia,"55,492"
Caroline County,Virginia,"31,332"
Carroll County,Virginia,"29,048"
Charles City County,Virginia,"6,594"
Charlotte County,Virginia,"11,448"
Chesterfield County,Virginia,"370,688"
Clarke County,Virginia,"14,881"
Craig County,Virginia,"4,865"
Culpeper County,Virginia,"53,596"
Cumberland County,Virginia,"9,681"
Dickenson County,Virginia,"13,787"
Dinwiddie County,Virginia,"27,912"
Essex County,Virginia,"10,573"
Fairfax County,Virginia,"1,139,720"
Fauquier County,Virginia,"73,815"
Floyd County,Virginia,"15,566"
Fluvanna County,Virginia,"27,723"
Franklin County,Virginia,"54,938"
Frederick County,Virginia,"93,717"
Giles County,Virginia,"16,562"
Gloucester County,Virginia,"39,069"
Goochland County,Virginia,"25,488"
Grayson County,Virginia,"15,359"
Greene County,Virginia,"20,968"
Greensville County,Virginia,"11,437"
Halifax County,Virginia,"33,738"
Hanover County,Virginia,"111,603"
Henrico County,Virginia,"333,554"
Henry County,Virginia,"50,248"
Highland County,Virginia,"2,226"
Isle of Wight County,Virginia,"39,278"
James City County,Virginia,"79,882"
King and Queen County,Virginia,"6,662"
King George County,Virginia,"27,489"
King William County,Virginia,"18,171"
Lancaster County,Virginia,"10,928"
Lee County,Virginia,"21,983"
Loudoun County,Virginia,"427,592"
Louisa County,Virginia,"38,848"
Lunenburg County,Virginia,"11,926"
Madison County,Virginia,"13,942"
Mathews County,Virginia,"8,546"
Mecklenburg County,Virginia,"30,248"
Middlesex County,Virginia,"10,781"
Montgomery County,Virginia,"98,473"
Nelson County,Virginia,"14,790"
New Kent County,Virginia,"23,897"
Northampton County,Virginia,"12,085"
Northumberland County,Virginia,"12,029"
Nottoway County,Virginia,"15,594"
Orange County,Virginia,"37,188"
Page County,Virginia,"23,807"
Patrick County,Virginia,"17,602"
Pittsylvania County,Virginia,"59,972"
Powhatan County,Virginia,"31,136"
Prince Edward County,Virginia,"21,932"
Prince George County,Virginia,"42,880"
Prince William County,Virginia,"484,472"
Pulaski County,Virginia,"33,759"
Rappahannock County,Virginia,"7,407"
Richmond County,Virginia,"9,017"
Roanoke County,Virginia,"96,589"
Rockbridge County,Virginia,"22,641"
Rockingham County,Virginia,"84,394"
Russell County,Virginia,"25,550"
Scott County,Virginia,"21,419"
Shenandoah County,Virginia,"44,752"
Smyth County,Virginia,"29,477"
Southampton County,Virginia,"18,006"
Spotsylvania County,Virginia,"143,676"
Stafford County,Virginia,"160,877"
Surry County,Virginia,"6,530"
Sussex County,Virginia,"10,763"
Tazewell County,Virginia,"39,925"
Warren County,Virginia,"40,925"
Washington County,Virginia,"53,635"
Westmoreland County,Virginia,"18,731"
Wise County,Virginia,"35,647"
Wythe County,Virginia,"28,178"
York County,Virginia,"70,915"
Alexandria city,Virginia,"154,706"
Bristol city,Virginia,"17,054"
Buena Vista city,Virginia,"6,601"
Charlottesville city,Virginia,"45,672"
Chesapeake city,Virginia,"251,269"
Colonial Heights city,Virginia,"18,273"
Covington city,Virginia,"5,717"
Danville city,Virginia,"42,215"
Emporia city,Virginia,"5,667"
Fairfax city,Virginia,"24,276"
Falls Church city,Virginia,"14,493"
Franklin city,Virginia,"8,217"
Fredericksburg city,Virginia,"28,367"
Galax city,Virginia,"6,660"
Hampton city,Virginia,"137,746"
Harrisonburg city,Virginia,"51,430"
Hopewell city,Virginia,"23,140"
Lexington city,Virginia,"7,456"
Lynchburg city,Virginia,"79,009"
Manassas city,Virginia,"42,708"
Manassas Park city,Virginia,"17,002"
Martinsville city,Virginia,"13,517"
Newport News city,Virginia,"184,587"
Norfolk city,Virginia,"235,089"
Norton city,Virginia,"3,666"
Petersburg city,Virginia,"33,429"
Poquoson city,Virginia,"12,574"
Portsmouth city,Virginia,"97,840"
Radford city,Virginia,"16,499"
Richmond city,Virginia,"226,604"
Roanoke city,Virginia,"98,865"
Salem city,Virginia,"25,373"
Staunton city,Virginia,"25,661"
Suffolk city,Virginia,"96,194"
Virginia Beach city,Virginia,"457,672"
Waynesboro city,Virginia,"22,550"
Williamsburg city,Virginia,"15,590"
Winchester city,Virginia,"28,136"
Adams County,Washington,"20,621"
Asotin County,Washington,"22,397"
Benton County,Washington,"210,025"
Chelan County,Washington,"79,646"
Clallam County,Washington,"78,209"
Clark County,Washington,"511,404"
Columbia County,Washington,"4,042"
Cowlitz County,Washington,"111,524"
Douglas County,Washington,"43,696"
Ferry County,Washington,"7,273"
Franklin County,Washington,"98,268"
Garfield County,Washington,"2,346"
Grant County,Washington,"100,297"
Grays Harbor County,Washington,"76,841"
Island County,Washington,"87,432"
Jefferson County,Washington,"33,605"
King County,Washington,"2,252,305"
Kitsap County,Washington,"274,314"
Kittitas County,Washington,"45,499"
Klickitat County,Washington,"23,118"
Lewis County,Washington,"84,398"
Lincoln County,Washington,"11,232"
Mason County,Washington,"67,615"
Okanogan County,Washington,"42,634"
Pacific County,Washington,"23,948"
Pend Oreille County,Washington,"13,886"
Pierce County,Washington,"925,708"
San Juan County,Washington,"18,557"
Skagit County,Washington,"130,696"
Skamania County,Washington,"12,170"
Snohomish County,Washington,"833,540"
Spokane County,Washington,"546,040"
Stevens County,Washington,"47,426"
Thurston County,Washington,"297,977"
Wahkiakum County,Washington,"4,582"
Walla Walla County,Washington,"62,682"
Whatcom County,Washington,"228,831"
Whitman County,Washington,"47,873"
Yakima County,Washington,"256,035"
Barbour County,West Virginia,"15,468"
Berkeley County,West Virginia,"126,069"
Boone County,West Virginia,"21,312"
Braxton County,West Virginia,"12,247"
Brooke County,West Virginia,"22,140"
Cabell County,West Virginia,"93,418"
Calhoun County,West Virginia,"6,176"
Clay County,West Virginia,"7,892"
Doddridge County,West Virginia,"7,735"
Fayette County,West Virginia,"39,927"
Gilmer County,West Virginia,"7,377"
Grant County,West Virginia,"10,983"
Greenbrier County,West Virginia,"32,608"
Hampshire County,West Virginia,"23,302"
Hancock County,West Virginia,"28,656"
Hardy County,West Virginia,"14,160"
Harrison County,West Virginia,"65,158"
Jackson County,West Virginia,"27,738"
Jefferson County,West Virginia,"58,370"
Kanawha County,West Virginia,"177,952"
Lewis County,West Virginia,"16,892"
Lincoln County,West Virginia,"20,126"
Logan County,West Virginia,"31,909"
McDowell County,West Virginia,"18,363"
Marion County,West Virginia,"56,001"
Marshall County,West Virginia,"30,115"
Mason County,West Virginia,"25,157"
Mercer County,West Virginia,"59,097"
Mineral County,West Virginia,"26,857"
Mingo County,West Virginia,"23,005"
Monongalia County,West Virginia,"106,387"
Monroe County,West Virginia,"12,332"
Morgan County,West Virginia,"17,221"
Nicholas County,West Virginia,"24,300"
Ohio County,West Virginia,"41,776"
Pendleton County,West Virginia,"6,142"
Pleasants County,West Virginia,"7,601"
Pocahontas County,West Virginia,"7,841"
Preston County,West Virginia,"34,358"
Putnam County,West Virginia,"57,260"
Raleigh County,West Virginia,"73,771"
Randolph County,West Virginia,"27,806"
Ritchie County,West Virginia,"8,383"
Roane County,West Virginia,"13,898"
Summers County,West Virginia,"11,908"
Taylor County,West Virginia,"16,492"
Tucker County,West Virginia,"6,672"
Tyler County,West Virginia,"8,155"
Upshur County,West Virginia,"23,791"
Wayne County,West Virginia,"38,498"
Webster County,West Virginia,"8,249"
Wetzel County,West Virginia,"14,170"
Wirt County,West Virginia,"5,063"
Wood County,West Virginia,"83,624"
Wyoming County,West Virginia,"21,051"
Adams County,Wisconsin,"20,875"
Ashland County,Wisconsin,"16,107"
Barron County,Wisconsin,"46,719"
Bayfield County,Wisconsin,"16,320"
Brown County,Wisconsin,"269,591"
Buffalo County,Wisconsin,"13,302"
Burnett County,Wisconsin,"16,744"
Calumet County,Wisconsin,"52,539"
Chippewa County,Wisconsin,"66,865"
Clark County,Wisconsin,"34,746"
Columbia County,Wisconsin,"58,488"
Crawford County,Wisconsin,"16,075"
Dane County,Wisconsin,"563,951"
Dodge County,Wisconsin,"89,313"
Door County,Wisconsin,"30,369"
Douglas County,Wisconsin,"44,203"
Dunn County,Wisconsin,"45,547"
Eau Claire County,Wisconsin,"106,452"
Florence County,Wisconsin,"4,593"
Fond du Lac County,Wisconsin,"104,362"
Forest County,Wisconsin,"9,258"
Grant County,Wisconsin,"52,110"
Green County,Wisconsin,"36,988"
Green Lake County,Wisconsin,"19,229"
Iowa County,Wisconsin,"23,756"
Iron County,Wisconsin,"6,178"
Jackson County,Wisconsin,"21,121"
Jefferson County,Wisconsin,"84,943"
Juneau County,Wisconsin,"26,802"
Kenosha County,Wisconsin,"168,732"
Kewaunee County,Wisconsin,"20,543"
La Crosse County,Wisconsin,"120,433"
Lafayette County,Wisconsin,"16,784"
Langlade County,Wisconsin,"19,502"
Lincoln County,Wisconsin,"28,541"
Manitowoc County,Wisconsin,"81,505"
Marathon County,Wisconsin,"137,648"
Marinette County,Wisconsin,"41,875"
Marquette County,Wisconsin,"15,792"
Menominee County,Wisconsin,"4,289"
Milwaukee County,Wisconsin,"928,059"
Monroe County,Wisconsin,"46,193"
Oconto County,Wisconsin,"39,356"
Oneida County,Wisconsin,"38,259"
Outagamie County,Wisconsin,"191,545"
Ozaukee County,Wisconsin,"92,497"
Pepin County,Wisconsin,"7,364"
Pierce County,Wisconsin,"42,587"
Polk County,Wisconsin,"45,431"
Portage County,Wisconsin,"70,468"
Price County,Wisconsin,"14,050"
Racine County,Wisconsin,"196,896"
Richland County,Wisconsin,"17,212"
Rock County,Wisconsin,"164,381"
Rusk County,Wisconsin,"14,123"
St. Croix County,Wisconsin,"95,044"
Sauk County,Wisconsin,"65,697"
Sawyer County,Wisconsin,"18,295"
Shawano County,Wisconsin,"40,859"
Sheboygan County,Wisconsin,"117,747"
Taylor County,Wisconsin,"19,923"
Trempealeau County,Wisconsin,"30,724"
Vernon County,Wisconsin,"30,915"
Vilas County,Wisconsin,"23,520"
Walworth County,Wisconsin,"106,799"
Washburn County,Wisconsin,"16,752"
Washington County,Wisconsin,"137,175"
Waukesha County,Wisconsin,"408,756"
Waupaca County,Wisconsin,"51,570"
Waushara County,Wisconsin,"24,828"
Winnebago County,Wisconsin,"171,623"
Wood County,Wisconsin,"74,070"
Albany County,Wyoming,"37,608"
Big Horn County,Wyoming,"11,632"
Campbell County,Wyoming,"46,401"
Carbon County,Wyoming,"14,649"
Converse County,Wyoming,"13,672"
Crook County,Wyoming,"7,315"
Fremont County,Wyoming,"39,336"
Goshen County,Wyoming,"12,537"
Hot Springs County,Wyoming,"4,597"
Johnson County,Wyoming,"8,623"
Laramie County,Wyoming,"100,863"
Lincoln County,Wyoming,"20,153"
Natrona County,Wyoming,"79,555"
Niobrara County,Wyoming,"2,438"
Park County,Wyoming,"30,108"
Platte County,Wyoming,"8,699"
Sheridan County,Wyoming,"31,646"
Sublette County,Wyoming,"8,697"
Sweetwater County,Wyoming,"41,614"
Teton County,Wyoming,"23,575"
Uinta County,Wyoming,"20,635"
Washakie County,Wyoming,"7,705"
Weston County,Wyoming,"6,745"
