rank,year_ranked,material_type,coaster_name,park_name,supplier,year_built,status,speed,height,length,num_inversions,manufacturer,seating_type,city,state,country,zip_code
1,2021,Wooden,Phoenix,Knoebels Amusement Resort,Dinn-PTC/Schmeck,1985,status.operating,72.0,24.0,975.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Elysburg,Pennsylvania,United States,17824
2,2021,Wooden,Voyage,Holiday World,The Gravity Group,2006,status.operating,108.0,49.0,1963.0,0.0,Gravity Group,Sit Down,Santa Claus,Indiana,United States,47579
3,2021,Wooden,El Toro,Six Flags Great Adventure,Intamin,2006,status.operating,113.0,55.0,1341.0,0.0,Intamin,Sit Down,Jackson,New Jersey,United States,08527
4,2021,Wooden,Boulder Dash,Lake Compounce,Custom Coasters Int.,2000,status.operating,97.0,35.0,1440.0,0.0,CCI,Sit Down,Bristol,Connecticut,United States,06010
5,2021,Wooden,Beast,Kings Island,KECO,1979,status.operating,104.0,34.0,2243.0,0.0,Charlie Dinn,Sit Down,Mason,Ohio,United States,45040
6,2021,Wooden,Mystic Timbers,Kings Island,Great Coasters Int.,2017,status.operating,85.0,33.0,995.0,0.0,GCI,Sit Down,Mason,Ohio,United States,45040
7,2021,Wooden,GhostRider,Knott's Berry Farm,Custom Coasters/GCII,1998,status.operating,90.0,36.0,1382.0,0.0,GCI,Sit Down,Buena Park,California,United States,90620
8,2021,Wooden,Ravine Flyer II,Waldameer,The Gravity Group,2008,,,,,,,,,,,
9,2021,Wooden,Outlaw Run,Silver Dollar City,Rocky Mountain,2013,status.operating,110.0,50.0,,2.0,RMC,Sit Down,Branson,Missouri,United States,65616
10,2021,Wooden,Thunderhead,Dollywood,Great Coasters Int.,2004,status.operating,89.0,31.0,985.0,0.0,GCI,Sit Down,Pigeon Forge,Tennessee,United States,37863
11,2021,Wooden,Lightning Racer,Hersheypark,Great Coasters Int.,2000,status.operating,82.0,27.0,1036.0,0.0,GCI,Sit Down,Hershey,Pennsylvania,United States,17033
12,2021,Wooden,Gold Striker,California's Great America,Great Coasters Int.,2013,status.operating,87.0,33.0,975.0,0.0,GCI,Sit Down,Santa Clara,California,United States,95054
13,2021,Wooden,Cyclone,Coney Island,Baker/Keenan,1927,status.operating,97.0,26.0,869.0,0.0,na,Sit Down,Brooklyn,New York,United States,11224
13,2021,Wooden,Jack Rabbit,Kennywood,Miller,1920,,,,,,,,,,,
15,2021,Wooden,Troy,Toverland,Great Coasters Int.,2007,status.operating,87.0,32.0,1077.0,0.0,GCI,Sit Down,Sevenum,Limburg,Netherlands,5975
16,2021,Wooden,Balder,Liseberg,Intamin,2003,status.operating,90.0,36.0,1070.0,0.0,Intamin,Sit Down,Gothenburg,Västra Götalands,Sweden,402 22
17,2021,Wooden,Raven,Holiday World,Custom Coasters Int.,1995,status.operating,77.0,33.0,832.0,0.0,CCI,Sit Down,Santa Claus,Indiana,United States,47579
17,2021,Wooden,Wildfire,Kolmården,Rocky Mountain,2016,status.operating,113.0,57.0,1300.0,3.0,RMC,Sit Down,Kolmården,Östergötlands,Sweden,618 92
19,2021,Wooden,Thunderbolt,Kennywood,Vettel/Miller,1968,,,,,,,,,,,
20,2021,Wooden,Comet,Six Flags Great Escape,PTC/Schmeck,1994,status.operating,89.0,29.0,1279.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Queensbury,New York,United States,12804
21,2021,Wooden,Shivering Timbers,Michigan's Adventure,Custom Coasters Int.,1998,,,,,,,,,,,
22,2021,Wooden,Boardwalk Bullet,Kemah Boardwalk,The Gravity Group/M&V,2007,status.operating,82.0,29.0,986.0,0.0,Gravity Group,Sit Down,Kemah,Texas,United States,77565
23,2021,Wooden,Wodan,Europa-Park,Great Coasters Int.,2012,status.operating,100.0,35.0,1050.0,0.0,GCI,Sit Down,Rust,Baden-Württemberg,Germany,77977
24,2021,Wooden,Legend,Holiday World,Custom Coasters Int.,2000,status.operating,93.0,35.0,1232.0,0.0,CCI,Sit Down,Santa Claus,Indiana,United States,47579
25,2021,Wooden,Colossos,Heide Park,Intamin,2001,status.operating,110.0,51.0,1500.0,0.0,Intamin,Sit Down,Soltau,Lower Saxony,Germany,29614
26,2021,Wooden,Goliath,Six Flags Great America,Rocky Mountain,2014,status.operating,115.0,55.0,950.0,2.0,RMC,Sit Down,Gurnee,Illinois,United States,60031
27,2021,Wooden,Flying Turns,Knoebels Amusement Resort,Fetterman,2014,status.operating,39.0,15.0,396.0,0.0,Knoebels,Bobsleigh,Elysburg,Pennsylvania,United States,17824
28,2021,Wooden,Giant Dipper,Santa Cruz Beach Boardwalk,Prior & Church/Looff,1924,,,,,,,,,,,
29,2021,Wooden,White Lightning,Fun Spot America,Great Coasters Int.,2013,status.operating,75.0,23.0,600.0,0.0,GCI,Sit Down,Orlando,Florida,United States,32819
30,2021,Wooden,Renegade,Valleyfair,Great Coasters Int.,2007,status.operating,,32.0,950.0,0.0,GCI,Sit Down,Shakopee,Minnesota,United States,55379
31,2021,Wooden,Prowler,Worlds of Fun,Great Coasters Int.,2009,status.operating,82.0,31.0,937.0,0.0,GCI,Sit Down,Kansas City,Missouri,United States,64161
32,2021,Wooden,Twister,Knoebels Amusement Resort,Fetterman,1999,status.operating,83.0,31.0,1189.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Elysburg,Pennsylvania,United States,17824
33,2021,Wooden,Rampage,Alabama Splash Adventure,Custom Coasters Int.,1998,status.operating,90.0,37.0,1067.0,0.0,CCI,Sit Down,Bessemer,Alabama,United States,35022
34,2021,Wooden,Playland Wooden Coaster,PNE Playland,Phare,1958,status.operating,75.0,20.0,865.0,0.0,na,Sit Down,Vancouver,British Columbia,Canada,V5K 5J1
35,2021,Wooden,Blue Streak,Conneaut Lake Park,Vettel/NAD,1937,status.operating,,,883.0,0.0,na,na,Conneaut Lake,Pennsylvania,United States,16316
36,2021,Wooden,Screamin' Eagle,Six Flags St. Louis,PTC/Allen,1976,status.operating,100.0,34.0,1180.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Eureka,Missouri,United States,63025
37,2021,Wooden,Comet,Hersheypark,PTC/Schmeck,1946,,,,,,,,,,,
38,2021,Wooden,Blue Streak,Cedar Point,Hoover,1964,status.operating,64.0,24.0,780.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Sandusky,Ohio,United States,44870
39,2021,Wooden,Hades 360,Mt. Olympus Theme Park,The Gravity Group,2005,,,,,,,,,,,
40,2021,Wooden,El Toro,Freizeitpark Plohn,Great Coasters Int.,2009,status.operating,75.0,28.0,750.0,0.0,GCI,Sit Down,Reichenbach/Vogtland,Saxony,Germany,08485
41,2021,Wooden,Cornball Express,Indiana Beach,Custom Coasters Int.,1999,status.operating,72.0,17.0,640.0,0.0,CCI,Sit Down,Monticello,Indiana,United States,47960
42,2021,Wooden,Boss,Six Flags St. Louis,Custom Coasters Int.,2000,status.operating,106.0,46.0,1540.0,0.0,CCI,Sit Down,Eureka,Missouri,United States,63025
43,2021,Wooden,Cú Chulainn,Tayto Park,The Gravity Group,2015,status.operating,90.0,32.0,1094.0,0.0,Gravity Group,Sit Down,Ashbourne,Meath,Ireland,A84 EA02
44,2021,Wooden,Rutschebanan,Tivoli Gardens,L.A. Thompson,1914,status.operating,50.0,13.0,720.0,0.0,L.A. Thompson Scenic Railway,Sit Down,Copenhagen,Region Hovedstaden,Denmark,1630
45,2021,Wooden,Texas Stingray,SeaWorld San Antonio,Great Coasters Int.,2020,status.operating,55.0,30.48,1029.9,0.0,GCI,Sit Down,San Antonio,Texas,United States,78251
45,2021,Wooden,Zippin Pippin,Bay Beach Amusement Park,M&V,2011,status.operating,68.0,21.0,715.0,,Gravity Group,Sit Down,Green Bay,Wisconsin,United States,54302
47,2021,Wooden,American Thunder,Six Flags St. Louis,Great Coasters Int.,2008,status.operating,77.0,25.0,827.0,0.0,GCI,Sit Down,Eureka,Missouri,United States,63025
48,2021,Wooden,InvadR,Busch Gardens Williamsburg,Great Coasters Int.,2017,,,,,,,,,,,
49,2021,Wooden,Grand National,Blackpool Pleasure Beach,Paige,1935,,,,,,,,,,,
50,2021,Wooden,T Express,Everland,Intamin,2008,status.operating,104.0,56.0,1641.0,0.0,Intamin,Sit Down,Seoul,Seoul,South Korea,17023
1,2019,Wooden,Phoenix,Knoebels Amusement Resort,Dinn-PTC/Schmeck,1985,status.operating,72.0,24.0,975.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Elysburg,Pennsylvania,United States,17824
2,2019,Wooden,Voyage,Holiday World,The Gravity Group,2006,status.operating,108.0,49.0,1963.0,0.0,Gravity Group,Sit Down,Santa Claus,Indiana,United States,47579
3,2019,Wooden,El Toro,Six Flags Great Adventure,Intamin,2006,status.operating,113.0,55.0,1341.0,0.0,Intamin,Sit Down,Jackson,New Jersey,United States,08527
4,2019,Wooden,Boulder Dash,Lake Compounce,Custom Coasters,2000,status.operating,97.0,35.0,1440.0,0.0,CCI,Sit Down,Bristol,Connecticut,United States,06010
5,2019,Wooden,Beast,Kings Island,KECO,1979,status.operating,104.0,34.0,2243.0,0.0,Charlie Dinn,Sit Down,Mason,Ohio,United States,45040
6,2019,Wooden,GhostRider,Knott's Berry Farm,Custom Coasters,1998,status.operating,90.0,36.0,1382.0,0.0,GCI,Sit Down,Buena Park,California,United States,90620
7,2019,Wooden,Lightning Rod,Dollywood,Rocky Mountain,2016,status.operating,118.0,50.0,1158.0,0.0,RMC,Sit Down,Pigeon Forge,Tennessee,United States,37863
8,2019,Wooden,Outlaw Run,Silver Dollar City,Rocky Mountain,2013,status.operating,110.0,50.0,,2.0,RMC,Sit Down,Branson,Missouri,United States,65616
9,2019,Wooden,Ravine Flyer II,Waldameer,The Gravity Group,2008,,,,,,,,,,,
10,2019,Wooden,Mystic Timbers,Kings Island,Great Coasters Int.,2017,status.operating,85.0,33.0,995.0,0.0,GCI,Sit Down,Mason,Ohio,United States,45040
11,2019,Wooden,Thunderhead,Dollywood,Great Coasters Int.,2004,status.operating,89.0,31.0,985.0,0.0,GCI,Sit Down,Pigeon Forge,Tennessee,United States,37863
12,2019,Wooden,Gold Striker,California's Great America,Great Coasters Int.,2013,status.operating,87.0,33.0,975.0,0.0,GCI,Sit Down,Santa Clara,California,United States,95054
13,2019,Wooden,Balder,Liseberg,Intamin,2003,status.operating,90.0,36.0,1070.0,0.0,Intamin,Sit Down,Gothenburg,Västra Götalands,Sweden,402 22
14,2019,Wooden,Lightning Racer,Hersheypark,Great Coasters Int.,2000,status.operating,82.0,27.0,1036.0,0.0,GCI,Sit Down,Hershey,Pennsylvania,United States,17033
15,2019,Wooden,Shivering Timbers,Michigan's Adventure,Custom Coasters,1998,,,,,,,,,,,
16,2019,Wooden,Wildfire,Kolmården,Rocky Mountain,0,status.operating,113.0,57.0,1300.0,3.0,RMC,Sit Down,Kolmården,Östergötlands,Sweden,618 92
17,2019,Wooden,Giant Dipper,Santa Cruz Beach Boardwalk,Prior & Church/Looff,0,,,,,,,,,,,
18,2019,Wooden,Thunderbolt,Kennywood,Vettel/Miller,2016,,,,,,,,,,,
19,2019,Wooden,Comet,Six Flags Great Escape,PTC/Schmeck,1994,status.operating,89.0,29.0,1279.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Queensbury,New York,United States,12804
20,2019,Wooden,Jack Rabbit,Kennywood,Miller,1920,,,,,,,,,,,
21,2019,Wooden,Raven,Holiday World,Custom Coasters,1995,status.operating,77.0,33.0,832.0,0.0,CCI,Sit Down,Santa Claus,Indiana,United States,47579
22,2019,Wooden,White Lightning,Fun Spot America,Great Coasters Int.,2013,status.operating,75.0,23.0,600.0,0.0,GCI,Sit Down,Orlando,Florida,United States,32819
23,2019,Wooden,Wodan,Europa-Park,Great Coasters Int.,2012,status.operating,100.0,35.0,1050.0,0.0,GCI,Sit Down,Rust,Baden-Württemberg,Germany,77977
24,2019,Wooden,Renegade,Valleyfair,Great Coasters Int.,2007,status.operating,,32.0,950.0,0.0,GCI,Sit Down,Shakopee,Minnesota,United States,55379
25,2019,Wooden,Troy,Toverland,Great Coasters Int.,2007,status.operating,87.0,32.0,1077.0,0.0,GCI,Sit Down,Sevenum,Limburg,Netherlands,5975
26,2019,Wooden,Legend,Holiday World,Custom Coasters,2000,status.operating,93.0,35.0,1232.0,0.0,CCI,Sit Down,Santa Claus,Indiana,United States,47579
27,2019,Wooden,Goliath,Six Flags Great America,Rocky Mountain,2014,status.operating,115.0,55.0,950.0,2.0,RMC,Sit Down,Gurnee,Illinois,United States,60031
28,2019,Wooden,Cyclone,Coney Island,Kennan/Baker,1927,status.operating,97.0,26.0,869.0,0.0,na,Sit Down,Brooklyn,New York,United States,11224
29,2019,Wooden,Prowler,Worlds of Fun,Great Coasters Int.,2009,status.operating,82.0,31.0,937.0,0.0,GCI,Sit Down,Kansas City,Missouri,United States,64161
30,2019,Wooden,Colossos,Heide Park,Intamin,2001,status.operating,110.0,51.0,1500.0,0.0,Intamin,Sit Down,Soltau,Lower Saxony,Germany,29614
31,2019,Wooden,Boardwalk Bullet,Kemah Boardwalk,The Gravity Group,2007,status.operating,82.0,29.0,986.0,0.0,Gravity Group,Sit Down,Kemah,Texas,United States,77565
32,2019,Wooden,Playland Wooden Coaster,PNE Playland,Phare,1959,status.operating,75.0,20.0,865.0,0.0,na,Sit Down,Vancouver,British Columbia,Canada,V5K 5J1
33,2019,Wooden,Flying Turns,Knoebels Amusement Resort,Fetterman,2013,status.operating,39.0,15.0,396.0,0.0,Knoebels,Bobsleigh,Elysburg,Pennsylvania,United States,17824
34,2019,Wooden,Rampage,Alabama Splash Adventure,Custom Coasters,1998,status.operating,90.0,37.0,1067.0,0.0,CCI,Sit Down,Bessemer,Alabama,United States,35022
