coaster_name,status,speed,height,length,num_inversions,material_type,manufacturer,seating_type,park_name,city,state,country,zip_code
Great American Scream Machine,status.operating,92.0,32.0,1052.0,0.0,Wooden,Philadelphia Toboggan Coaster,Sit Down,Six Flags Over Georgia,Austell,Georgia,United States,30168
Griffon,status.operating,120.0,62.0,950.0,2.0,Steel,B&M,Floorless,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,23185
Grizzly,status.operating,89.0,28.0,991.0,0.0,Steel,Kings Island,Sit Down,California's Great America,Santa Clara,California,United States,95054
Grizzly,status.operating,,27.0,960.0,0.0,Wooden,na,Sit Down,Kings Dominion,Doswell,Virginia,United States,23047
Gwazi,status.retracked,81.0,27.0,1036.0,0.0,Wooden,GCI,Sit Down,Busch Gardens Tampa,Tampa,Florida,United States,33612
Hades 360,status.operating,113.0,42.0,1441.0,0.0,Hybrid,Gravity Group,Sit Down,Mt. Olympus Theme Park,Wisconsin Dells,Wisconsin,United States,53965
Hagrid’s Magical Creatures Motorbike Adventure,status.operating,80.0,,,0.0,Steel,Intamin,Sit Down,Universal's Islands of Adventure,Orlando,Florida,United States,32819
Helix,status.operating,100.0,41.0,1381.0,7.0,Steel,Mack,Sit Down,Liseberg,Gothenburg,Västra Götalands,Sweden,402 22
Incredible Hulk,status.operating,107.0,33.0,1127.0,7.0,Steel,B&M,Sit Down,Universal's Islands of Adventure,Orlando,Florida,United States,32819
Incredicoaster,status.operating,88.0,33.0,1850.0,1.0,Steel,Intamin,Sit Down,Disney California Adventure Park,Anaheim,California,United States,92802
Intimidator,status.operating,120.0,71.0,1620.0,0.0,Steel,B&M,Sit Down,Carowinds,Charlotte,North Carolina,United States,28273
Intimidator 305,status.operating,145.0,93.0,1555.0,0.0,Steel,Intamin,Sit Down,Kings Dominion,Doswell,Virginia,United States,23047
InvadR,status.operating,77.0,23.0,,0.0,Hybrid,GCI,Sit Down,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,23185
